year;month;hour;state_event;country_event;airline_operator;route;aircraft_type;total_aboard;passengers_aboard;crew_aboard;all_fatalities;passengers_fatalities;crew_fatalities;all_killed_ground
1931;5;23.0;California;United States;Pacific Air Transport;San Diego - Los Angeles;Boeing 40;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1931;5;;;Australia;Guiena Airways;Lae - Bulolo;Junkers W-34;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1931;5;22.0;Pennsylvania;United States;National Air Transport;;Boeing 95;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1931;6;9.0;;Burma;Air Orient;Saigon - Karachi;Fokker F-VIIB;4.0;0.0;4.0;4.0;0.0;4.0;0.0
1931;6;;Ohio;United States;Rubner Flying Service;;Lockheed Vega 2;3.0;1.0;2.0;2.0;0.0;2.0;0.0
1931;6;;;Germany;Deutsche Lufthansa;Cologne - Saarbrucken;Dornier Merkur;4.0;2.0;2.0;4.0;2.0;2.0;0.0
1931;7;;Illinois;United States;Braniff Airlines;Chicago - Detroit;Lockheed Vega;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1931;7;;;Australia;Australian Aerial Services;;Lasco Lascowl;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1931;7;;Illinois;United States;American Airways;;Pitcairn PA-6 Mailwing;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1931;7;;;Bulgaria;CIDNA;Constantinople - Budapest;Fokker F-VII;7.0;5.0;2.0;7.0;5.0;2.0;0.0
1931;8;8.0;Ohio;United States;American Airways;Cincinnati - Atlanta;Ford 5-AT-C Tri Motor;6.0;4.0;2.0;6.0;4.0;2.0;0.0
1931;9;20.0;Illinois;United States;Chicago-Detroit Airways;;Lockheed Vega;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1931;9;;;Romania;CIDNA;Paris - Bucharest;Fokker F-VIIb-3m;6.0;4.0;2.0;6.0;4.0;2.0;0.0
1931;9;4.0;California;United States;Pacific Air Transport;Oakland, CA - Seattle, WA;Boeing 40;4.0;3.0;1.0;4.0;3.0;1.0;0.0
1931;10;;;Canada;Deutsche Lufthansa;Sydney - New York;Heinkel HE-2;3.0;0.0;3.0;3.0;0.0;3.0;0.0
1931;10;;;Brazil;Syndicato Condor;;Dornier Wal;3.0;0.0;3.0;3.0;0.0;3.0;0.0
1931;11;6.0;New Jersey;United States;NY, Phil., Washington AW;Newark, NJ  - Camden, NJ - Washington DC;Lockheed Orion 9;5.0;4.0;1.0;5.0;4.0;1.0;0.0
1931;11;;;South Africa;Union Airways;Durban - Cape Town;De Havilland DH.80;3.0;2.0;1.0;3.0;2.0;1.0;0.0
1931;11;;Utah;United States;Boeing Air Transport;;Boeing 40;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1931;11;;;China;China National Aviation Corporation;Nanking - Peiking;Stinson;3.0;1.0;2.0;3.0;1.0;2.0;0.0
1931;11;22.0;Washington;United States;Varney Air Lines;Portland,  OR - Pasco, WA;Boeing 40;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1931;12;;Illinois;United States;Braniff Airways;Kansas City - Chicago;Lockheed Vega 5;6.0;5.0;1.0;2.0;2.0;0.0;0.0
1931;12;5.0;;Thailand;KLM Royal Dutch Airlines;Djakarta - Amsterdam -  Bangkok - Rangoon (Burma);Fokker F-VIIb-3M;7.0;3.0;4.0;5.0;2.0;3.0;0.0
1931;12;;;;Aeropostale;Marseille - Algiers;CAMS 56;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1931;12;;Ohio;United States;American Airways;Port Colombus, OH - Louisville, KY;Fairchild Pilgrim 100A;5.0;4.0;1.0;4.0;4.0;0.0;0.0
